Company,Type,EV/Rev,Rev Growth,GP Margin,R&D Margin,S&M Margin,EBITDA Margin,Profit Margin
ZNGA US Equity,Interactive Home Entertainment,3.236938149,0.110919751,0.690714628,0.289884414,0.240083247,0.093039477,0.056450317
MANHATTAN ASSOCIATES INC,Application Software,5.069267656,0.00451441,0.576314652,0.10324991,0.08495966,0.272099228,0.189319797
BOTTOMLINE TECHNOLOGIES (DE),Application Software,7.057365972,0.084931083,0.560690798,0.14542142,0.217997645,0.138235354,0.010832333
CORNERSTONE ONDEMAND INC,Application Software,5.219395166,0.025401342,0.717005982,0.119324505,0.462609409,0.030305247,-0.077936856
BOX INC - CLASS A,Application Software,4.659730525,0.205468463,0.727027563,0.246600013,0.546808411,-0.18767712,-0.270973197
ELLIE MAE INC,Application Software,5.485530549,0.155339407,0.591959407,0.149650752,0.140524704,0.185519746,0.041779082
QUALYS INC,Systems Software,9.9139303,0.189515182,0.767918385,0.167619286,0.249984341,0.262801641,0.166605485
AVALARA INC,Application Software,11.85648084,0.326756083,0.728010546,0.193583194,0.627672301,-0.203148823,-0.259119014
SMARTSHEET INC-CLASS A,Application Software,22.46783098,0.760249162,0.805110873,0.337878529,0.655487942,-0.403602599,-0.441390345
INOV US Equity,Health Care Technology,5.052132757,0.335533489,0.688948322,0.057524048,0.071640894,0.21141868,0.015162872
DESCARTES SYSTEMS GRP/THE,Application Software,9.236748215,0.116516852,0.728523857,0.160930071,0.127530653,0.32042038,0.120692203
ALTERYX INC - CLASS A,Application Software,14.55480168,0.381423996,0.864769664,0.180721853,0.409090909,-0.08343188,-0.121129527
ALTAIR ENGINEERING INC - A,Application Software,6.47357623,0.11455612,0.692304933,0.257479937,0.220816234,-0.009593982,-0.233470127
EBIX INC,Application Software,5.291464596,0.27187065,0.636273421,0.078668578,0.037884263,0.337254291,0.246655528
COMMVAULT SYSTEMS INC,Systems Software,3.170061922,0.072713001,0.853301436,0.132700487,0.578816457,0.028356901,-0.010834571
ZUORA INC - CLASS A,Systems Software,13.11747675,0.523885521,0.524159451,0.230095399,0.435233377,-0.236580399,-0.280808213
BLACKLINE INC,Application Software,10.6739201,0.216651384,0.776422042,0.117697518,0.541184764,-0.066416225,-0.167225391
CYBERARK SOFTWARE LTD/ISRAEL,Systems Software,7.200652568,0.185186065,0.845334966,0.143846587,0.430087348,0.115185183,0.091813351
ALARM.COM HOLDINGS INC,Application Software,5.549719015,0.092588012,0.668661354,0.193497855,0.115665201,0.209577685,0.144136532
FIVE9 INC,Application Software,9.162351392,0.180032726,0.59036668,0.120261276,0.295198861,0.047195456,-0.010447477
Q2 HOLDINGS INC,Application Software,9.569033601,0.234901325,0.495053459,0.187443367,0.19130952,-0.035297234,-0.113132374
APPFOLIO INC - A,Application Software,12.17994135,0.244709155,0.619476356,0.100241867,0.173594147,0.188348047,0.109271617
MIMECAST LTD,Application Software,6.753449137,0.237610006,0.732678096,0.136005501,0.429732441,0.062447057,-0.039696455
YEXT INC,Application Software,9.051454345,0.255078245,0.744377783,0.129377515,0.639559189,-0.342540407,-0.369149252
TALEND SA - ADR,Systems Software,9.679609599,0.315550897,0.76684703,0.152052582,0.492347792,-0.174088449,-0.196588945
CLOUDERA INC,Application Software,3.994548051,0.184810638,0.680254181,0.524723644,0.726084016,-0.429358932,-0.448954299
VARONIS SYSTEMS INC,Systems Software,6.750555812,0.17627243,0.900197083,0.195313531,0.560331178,-0.084031535,-0.105234365
KINAXIS INC,Application Software,10.87628624,0.180908787,0.707510169,0.164804664,0.203684123,0.245784406,0.141458901
IMPERVA INC,Systems Software,4.490807431,0.074856766,0.797739638,0.184444373,0.442356046,0.02051032,-0.066368522
TRHC US Equity,Health Care Technology,8.828778801,0.284047059,0.310098209,0.033156006,0.032649358,0.100940834,0.052382229
8X8 INC,Application Software,4.760393012,0.179398443,0.755378641,0.112021814,0.59249196,-0.043202941,0.136357472
EVERBRIDGE INC,Application Software,11.84840509,0.32774286,0.692236298,0.181074348,0.382632624,-0.200809262,-0.319052985
MINDBODY INC - CLASS A,Application Software,6.871662755,0.318873708,0.707418085,0.169123307,0.339214788,-0.054009471,-0.107506789
CARBON BLACK INC,Systems Software,8.916156011,0.398829731,0.780031355,0.321250015,0.661609491,-0.296943474,-0.344581332
RAPID7 INC,Systems Software,6.524921793,0.17806318,0.703654474,0.230271961,0.504470905,-0.213805072,-0.243521934
APPIAN CORP,Systems Software,6.815206805,0.064408648,0.623321356,0.168456736,0.396375049,-0.148054297,-0.162837482
PROGRESS SOFTWARE CORP,Systems Software,3.492127859,-0.014085208,0.830308201,0.191554847,0.239717251,0.35425007,0.163909273
HORTONWORKS INC,Application Software,4.446307662,0.215360798,0.7125183,0.326730465,0.646997036,-0.527208147,-0.57156339
WORKIVA INC,Application Software,6.029720314,0.134346882,0.713895663,0.302167457,0.373037543,-0.216065979,-0.238819201
SENDGRID INC,Application Software,10.49736688,0.217298443,0.742339564,0.231064238,0.219699273,0.035092642,-0.036651623
SPS COMMERCE INC,Application Software,5.692442855,0.088234918,0.666298567,0.098847497,0.312514657,0.106347508,0.042834057
CARB US EQUITY,Internet Services & Infrastruc,4.656080411,0.241613194,0.71521263,0.174130198,0.342986695,0.133656998,-0.007129497
LIVEPERSON INC,Application Software,5.194544537,0.107235739,0.746432593,0.171243541,0.388841837,0.041850597,-0.03848877
PROS HOLDINGS INC,Application Software,6.584861424,0.12118159,0.596355456,0.305097023,0.37096783,-0.240979866,-0.344764102
DOMO INC - CLASS B,Application Software,10.66609874,0.365181895,0.586091556,0.721140024,1.214496333,-1.461759611,-1.626939663
SECUREWORKS CORP - A,Systems Software,2.267289869,0.095959013,0.515184856,0.162466383,0.306719036,-0.066681664,-0.104943521
BENEFITFOCUS INC,Application Software,4.386131821,0.069892132,0.500908144,0.196498255,0.274746193,-0.044693393,-0.159469385
APPTIO INC - CLASS A,Application Software,4.782292284,0.172182532,0.692937619,0.190843287,0.4139205,-0.067484991,-0.10987947
INSTRUCTURE INC,Application Software,5.470949539,0.251313319,0.70595174,0.261273446,0.452917976,-0.217694509,-0.265525842
FORESCOUT TECHNOLOGIES INC,Systems Software,3.684080543,0.174726226,0.75474664,0.184139936,0.586534318,-0.322065349,-0.357573475
CRW LN Equity,Health Care Technology,13.07916859,0.177926551,0.949200055,0.196430435,0.12311569,0.311017341,0.235661354
UPLAND SOFTWARE INC,Application Software,6.502958512,0.345316101,0.669822183,0.125559763,0.126004281,0.210594337,-0.016795941
MONOTYPE IMAGING HOLDINGS IN,Application Software,3.126123437,0.017802077,0.811736027,0.155060047,0.376742022,0.164929429,0.063183464
GLUU US Equity,Interactive Home Entertainment,2.258037634,0.178452594,0.540853339,0.277540871,0.313385146,-0.128055592,-0.078209558
AURORA MOBILE LTD-ADR,Application Software,17.74848458,1.444344571,0.250568124,0.25166398,0.209592953,-0.293548852,-0.317134337
MICROSTRATEGY INC-CL A,Application Software,1.419239495,0.0139547,0.80398124,0.155379681,0.344452642,0.093816454,0.083248837
QAD INC-B,Application Software,2.084546803,0.034475094,0.514730021,0.145126077,0.229492922,0.020635728,-0.003662715
ONESPAN INC,Systems Software,2.987260365,0.110902312,0.71395388,0.115238912,0.29406135,0.092239978,0.03619093
FDEV LN Equity,Interactive Home Entertainment,10.84657012,1.279816804,0.704843232,0.248596163,0.177702387,0.282346748,0.111911266
MODEL N INC,Application Software,3.032428243,-0.032419883,0.589410318,0.199780052,0.265861047,-0.083200957,-0.198670341
SHOTSPOTTER INC,Application Software,13.29596562,0.358231446,0.545703612,0.142436385,0.211616836,0.031302442,-0.157129011
MAGIC SOFTWARE ENTERPRISES,Application Software,1.379867279,0.107851761,0.322370143,0.025550521,0.100273466,0.154341049,0.066964828
MOBILEIRON INC,Application Software,1.892218626,0.126432852,0.830119818,0.415451373,0.531937652,-0.259366264,-0.285425679
AGILYSYS INC,Application Software,2.573051403,0.13566846,0.514784087,0.219102445,0.141762482,0.05235212,-0.042261141
MITEK SYSTEMS INC,Application Software,5.505567784,0.396763252,0.870999175,0.188178833,0.261321402,0.116396359,0.05367517
ATTUNITY LTD,Systems Software,4.182978256,0.192840758,0.852529496,0.192442412,0.493028942,0.049642175,-0.021799151
A10 NETWORKS INC,Systems Software,1.256451264,0.008428788,0.777168789,0.272275773,0.438124054,-0.040006785,-0.08429652
CHANNELADVISOR CORP,Application Software,2.094648772,0.048298222,0.790221885,0.170434972,0.494867778,-0.033832916,-0.081343964
AMERICAN SOFTWARE INC-CL A,Application Software,2.340770739,0.060804127,0.540824616,0.104905667,0.182465376,0.149793315,0.084802501
AMBER ROAD INC,Application Software,3.171639535,0.089157739,0.54081939,0.182285465,0.274824418,-0.052773514,-0.127101493
ABSOLUTE SOFTWARE CORPORATIO,Systems Software,2.198407098,0.04590989,0.852313866,0.21421277,0.436997142,0.192632548,0.054889193
